Address,Stake,Trust,Balance
14Y3ciL4fh9GcHFEBx4KMA6vHbha1L8JXt,0,66761.11,0.001
1Q9WCgvDyqwauuLZsYqjY8LXWmRcGxF3gR,0,134697.94,0.001
1NHmQL8jKUx9vmhT3cJRVCR25DNPtzw1jW,0,173805.82,0.000
3LUdorENEvgZZtE2duJbcXTLheM6ivZmiQ,0,12040.26,0.006
1KPskBcQNtApZbnaXw5oyjCNSzwdXkytpP,0,104153.03,0.001
3GDts6S7TjdixK6WxKaXNgEfMv1f1gfZBF,14,514.82,0.145
38ezTnEuERnH2icAubUHLqayuUbWsxHNAA,1,4355.15,0.017
3NFHswJU6BjRdZrchdhGLdBUQxb6eCm3D5,284,26.66,2.800
1LHpFivxghSw4AjHhZrgVjeF4YNmH7atNt,4,23809.02,0.050
3F87NpurnHFGXLWHkfw8txy4ezuR8vsAqA,0,7464.96,0.010
3BEQs7H4fNDiRQqMykCtq79RZp5swKJbNN,369,20.51,3.640
14RVFL7PKyFpE6BvbpfkqQeccY1RBxh12F,22,1434.97,0.227
17C5bPVX5yXMsoYn1gRYamAwPvRACZpebu,592,1387.79,5.998
18AwbcSEJqfop9tWMGDR5aSKy1qMocVwKb,13,573.68,0.130
1BYDZD6gvRCq9g1eEogmcU8fqvyvXS6Bbe,1,4641.77,0.016
1EkjKLZmBU5fg5BEwrqRXCRph2mUHzLLg5,0,35572.33,0.002
337a29jV3hnyV4y75BchhKJ1oyjTqoUyi3,0,24456.68,0.003
3BMEX9e5wxs3ngpSn3XhqdNSaM16vXD367,203,37.33,2.000
3BMEXu1zGM7x5wta7fS8cLJLeTAQAdFxiF,165,45.92,1.626
3N7w6nQu6pfYhLfirM9xXk7RuH7rm81w48,21,356.32,0.209
1Ag1vi9sn9RvPCwMUm9BctwLLdTiZkrLET,95,79.49,0.939
3Jjs6wxrHiELJCwfP5wTHt7RSKd3jk3Khn,0,1763931.95,0.000
3H1ZRrbSN5GbMnznN1HXmBdTsHw5w62uFX,0,74649.60,0.001
1BFvkNDodm362waMCkZLjUh1EkwBnjp3nw,0,23880.54,0.003
1LKyGuocAtMj5dqkjSiCUKnmk2LihKX51H,1,4241.61,0.018
16Yr7KDBinkMYqCKHdj87xzmp91bX96Pr6,0,604499.15,0.000
12b4PUmVmoLJKaMAbA3otviUidWwVyigk6,347,21.80,3.424
18cKW3yz3M6UfcWmVW3DUJbFBLAAtZghnP,11,668.59,0.112
1EeHmBNfmoF1Kra5UgmjaFBRCKLX4gAUws,9,780.16,0.096
1H3ap7p1CqjiTcauooHAMnP5WL2R97mQ8E,347,21.80,3.424
1M6r9ygXk4U9vDfrTRiXdPPvEWs6kvkyFs,32,231.67,0.322
1QArwJMYYwmzY9u4z3UvNwt8Ju88GxKRka,78,95.96,0.778
15pLdXABkF2hv1NKmDPWiJsMDwuECKNgYE,0,323761.11,0.000
35sd9BqaChqwetryuUXCoxp1ukS1RUa2eT,4,1567.98,0.048
157rEDJ1BTNZA15phtWE4BBKUxwYzzynta,259,29.23,2.554
1KZB2XweUFFB5CihiCVPWHS7bxjV4qvg2C,0,324718.78,0.000
1FHaMcKVSqjR7cXJJ19XPmncAXHvG8C1b2,0,44294.55,0.002
1H1cGEbzxwWkUgNLMuNEVUMFZD4bSTmRY2,0,321156.43,0.000
1CKEDt7rRGuobuVPK7b9nmNEK9umrVuNNr,0,35364.21,0.002
19So5C6tmYVcc4vfZ8pHxQiEuig1BGh7oz,3,2317.30,0.032
348zSNhoFM8q85TjcScYWfXahbe8GSyNe9,5,1419.46,0.053
1H88ytFXDMPYacQwoujQ1P6WqckPYEbtYS,0,1014674.46,0.000
368dSdad7hG7D8oPKPCF7fyFCQajK2w4fc,3,2499.69,0.030
31kG52wbFwd4QR6RMPBq3K65qnB4EjP9Jk,6,1206.13,0.062
3PEmbDT3AjyqPJFd5gmVY8fjUkwRN4Sxa4,190,159.39,1.878
13gRDewkoqmUd25nE5xPzLc9NJeGAH9cxY,7,1066.42,0.070
1MfgFJsf2xu7qc8Wukwu12uyTcc3NPyFnN,0,41402.77,0.002
1DWZ2vJQ1QbbMBGgtzytc4nKGfESzBkLN6,10,721.84,0.103
1ENmuB72hcegS9NCDtf2kBHop1pB8mvWDf,4,1612.72,0.046
3NG3swsUHCJQ2pDnwVKVPggdCHMNmMhg5A,1,7490.74,0.010
1KQ76DnFWEg3ULvaVUFjgA2XDXHPdhzyaK,31,237.42,0.314
